2025-12-19 01:37:41.287 | INFO     | app.routers.llm | llm.py:179 | generate_insight | Insight request
2025-12-19 01:37:51.386 | INFO     | app.services.llm | llm.py:801 | _execute_generation | LLM generation successful
2025-12-19 01:37:51.386 | INFO     | app.routers.llm | llm.py:195 | generate_insight | Insight generated
2025-12-19 01:37:57.649 | INFO     | app.services.llm | llm.py:801 | _execute_generation | LLM generation successful
2025-12-19 01:37:57.649 | INFO     | app.routers.llm | llm.py:195 | generate_insight | Insight generated
2025-12-19 01:38:03.883 | INFO     | app.services.llm | llm.py:801 | _execute_generation | LLM generation successful
2025-12-19 01:38:03.883 | INFO     | app.routers.llm | llm.py:195 | generate_insight | Insight generated
2025-12-19 01:38:50.572 | INFO     | app.routers.llm | llm.py:179 | generate_insight | Insight request
2025-12-19 01:38:50.573 | INFO     | app.routers.llm | llm.py:179 | generate_insight | Insight request
2025-12-19 01:38:50.574 | INFO     | app.routers.llm | llm.py:179 | generate_insight | Insight request
2025-12-19 01:39:00.938 | INFO     | app.services.llm | llm.py:801 | _execute_generation | LLM generation successful
2025-12-19 01:39:00.938 | INFO     | app.routers.llm | llm.py:195 | generate_insight | Insight generated
2025-12-19 01:39:06.465 | INFO     | app.services.llm | llm.py:801 | _execute_generation | LLM generation successful
2025-12-19 01:39:06.465 | INFO     | app.routers.llm | llm.py:195 | generate_insight | Insight generated
2025-12-19 01:39:12.094 | INFO     | app.services.llm | llm.py:801 | _execute_generation | LLM generation successful
2025-12-19 01:39:12.095 | INFO     | app.routers.llm | llm.py:195 | generate_insight | Insight generated
2025-12-19 01:40:55.037 | INFO     | app.initial_data | initial_data.py:15 | init_db | Database tables created successfully
2025-12-19 01:40:55.037 | INFO     | app.main | main.py:25 | lifespan | Application startup complete
2025-12-19 01:42:47.494 | INFO     | app.routers.llm | llm.py:179 | generate_insight | Insight request
2025-12-19 01:42:47.499 | INFO     | app.routers.llm | llm.py:179 | generate_insight | Insight request
2025-12-19 01:42:47.500 | INFO     | app.routers.llm | llm.py:179 | generate_insight | Insight request
2025-12-19 01:42:54.220 | INFO     | app.services.llm | llm.py:801 | _execute_generation | LLM generation successful
2025-12-19 01:42:54.220 | INFO     | app.routers.llm | llm.py:195 | generate_insight | Insight generated
2025-12-19 01:42:59.704 | INFO     | app.services.llm | llm.py:801 | _execute_generation | LLM generation successful
2025-12-19 01:42:59.704 | INFO     | app.routers.llm | llm.py:195 | generate_insight | Insight generated
2025-12-19 01:43:04.674 | INFO     | app.services.llm | llm.py:801 | _execute_generation | LLM generation successful
2025-12-19 01:43:04.674 | INFO     | app.routers.llm | llm.py:195 | generate_insight | Insight generated
2025-12-19 01:48:22.388 | INFO     | app.routers.llm | llm.py:179 | generate_insight | Insight request
2025-12-19 01:48:22.389 | INFO     | app.routers.llm | llm.py:179 | generate_insight | Insight request
2025-12-19 01:48:22.390 | INFO     | app.routers.llm | llm.py:179 | generate_insight | Insight request
2025-12-19 01:48:31.802 | INFO     | app.services.llm | llm.py:801 | _execute_generation | LLM generation successful
2025-12-19 01:48:31.802 | INFO     | app.routers.llm | llm.py:195 | generate_insight | Insight generated
2025-12-19 01:48:38.233 | INFO     | app.services.llm | llm.py:801 | _execute_generation | LLM generation successful
2025-12-19 01:48:38.233 | INFO     | app.routers.llm | llm.py:195 | generate_insight | Insight generated
2025-12-19 01:48:43.008 | INFO     | app.services.llm | llm.py:801 | _execute_generation | LLM generation successful
2025-12-19 01:48:43.008 | INFO     | app.routers.llm | llm.py:195 | generate_insight | Insight generated
2025-12-19 01:58:12.860 | INFO     | app.routers.llm | llm.py:179 | generate_insight | Insight request
2025-12-19 01:58:12.861 | INFO     | app.routers.llm | llm.py:179 | generate_insight | Insight request
2025-12-19 01:58:12.862 | INFO     | app.routers.llm | llm.py:179 | generate_insight | Insight request
2025-12-19 01:58:24.809 | INFO     | app.services.llm | llm.py:801 | _execute_generation | LLM generation successful
2025-12-19 01:58:24.809 | INFO     | app.routers.llm | llm.py:195 | generate_insight | Insight generated
2025-12-19 01:58:31.198 | INFO     | app.services.llm | llm.py:801 | _execute_generation | LLM generation successful
2025-12-19 01:58:31.198 | INFO     | app.routers.llm | llm.py:195 | generate_insight | Insight generated
2025-12-19 01:58:37.163 | INFO     | app.services.llm | llm.py:801 | _execute_generation | LLM generation successful
2025-12-19 01:58:37.163 | INFO     | app.routers.llm | llm.py:195 | generate_insight | Insight generated
2025-12-19 02:01:36.586 | INFO     | app.routers.llm | llm.py:179 | generate_insight | Insight request
2025-12-19 02:01:36.587 | INFO     | app.services.llm | llm.py:726 | generate | Returning cached LLM response
2025-12-19 02:01:36.587 | INFO     | app.routers.llm | llm.py:195 | generate_insight | Insight generated
2025-12-19 02:01:36.588 | INFO     | app.routers.llm | llm.py:179 | generate_insight | Insight request
2025-12-19 02:01:36.588 | INFO     | app.services.llm | llm.py:726 | generate | Returning cached LLM response
2025-12-19 02:01:36.588 | INFO     | app.routers.llm | llm.py:195 | generate_insight | Insight generated
2025-12-19 02:01:36.589 | INFO     | app.routers.llm | llm.py:179 | generate_insight | Insight request
2025-12-19 02:01:36.589 | INFO     | app.services.llm | llm.py:726 | generate | Returning cached LLM response
2025-12-19 02:01:36.589 | INFO     | app.routers.llm | llm.py:195 | generate_insight | Insight generated
2025-12-19 02:06:14.130 | INFO     | app.routers.llm | llm.py:179 | generate_insight | Insight request
2025-12-19 02:06:14.131 | INFO     | app.routers.llm | llm.py:179 | generate_insight | Insight request
2025-12-19 02:06:14.137 | INFO     | app.routers.llm | llm.py:179 | generate_insight | Insight request
2025-12-19 02:06:23.734 | INFO     | app.services.llm | llm.py:801 | _execute_generation | LLM generation successful
2025-12-19 02:06:23.734 | INFO     | app.routers.llm | llm.py:195 | generate_insight | Insight generated
2025-12-19 02:06:31.676 | INFO     | app.services.llm | llm.py:801 | _execute_generation | LLM generation successful
2025-12-19 02:06:31.676 | INFO     | app.routers.llm | llm.py:195 | generate_insight | Insight generated
2025-12-19 02:06:38.487 | INFO     | app.services.llm | llm.py:801 | _execute_generation | LLM generation successful
2025-12-19 02:06:38.487 | INFO     | app.routers.llm | llm.py:195 | generate_insight | Insight generated
2025-12-19 02:10:13.355 | INFO     | app.initial_data | initial_data.py:15 | init_db | Database tables created successfully
2025-12-19 02:10:13.355 | INFO     | app.main | main.py:25 | lifespan | Application startup complete
2025-12-19 02:10:33.053 | INFO     | app.routers.llm | llm.py:179 | generate_insight | Insight request
2025-12-19 02:10:41.184 | INFO     | app.services.llm | llm.py:801 | _execute_generation | LLM generation successful
2025-12-19 02:10:41.184 | INFO     | app.routers.llm | llm.py:195 | generate_insight | Insight generated
2025-12-19 02:11:28.236 | INFO     | app.routers.llm | llm.py:179 | generate_insight | Insight request
2025-12-19 02:11:28.237 | INFO     | app.services.llm | llm.py:726 | generate | Returning cached LLM response
2025-12-19 02:11:28.237 | INFO     | app.routers.llm | llm.py:195 | generate_insight | Insight generated
2025-12-19 02:12:33.253 | INFO     | app.main | main.py:31 | lifespan | Application shutdown
2025-12-19 02:17:15.356 | INFO     | app.initial_data | initial_data.py:15 | init_db | Database tables created successfully
2025-12-19 02:17:15.356 | INFO     | app.main | main.py:25 | lifespan | Application startup complete
2025-12-19 02:19:57.334 | INFO     | app.main | main.py:31 | lifespan | Application shutdown
2025-12-19 02:23:21.787 | INFO     | app.initial_data | initial_data.py:15 | init_db | Database tables created successfully
2025-12-19 02:23:21.787 | INFO     | app.main | main.py:25 | lifespan | Application startup complete
2025-12-19 02:23:32.238 | INFO     | app.routers.llm | llm.py:179 | generate_insight | Insight request
2025-12-19 02:23:32.244 | INFO     | app.routers.llm | llm.py:179 | generate_insight | Insight request
2025-12-19 02:23:32.245 | INFO     | app.routers.llm | llm.py:179 | generate_insight | Insight request
2025-12-19 02:23:41.041 | INFO     | app.services.llm | llm.py:801 | _execute_generation | LLM generation successful
2025-12-19 02:23:41.041 | INFO     | app.routers.llm | llm.py:195 | generate_insight | Insight generated
2025-12-19 02:23:48.265 | INFO     | app.services.llm | llm.py:801 | _execute_generation | LLM generation successful
2025-12-19 02:23:48.265 | INFO     | app.routers.llm | llm.py:195 | generate_insight | Insight generated
2025-12-19 02:23:50.460 | INFO     | app.routers.llm | llm.py:179 | generate_insight | Insight request
2025-12-19 02:23:50.460 | INFO     | app.services.llm | llm.py:726 | generate | Returning cached LLM response
2025-12-19 02:23:50.460 | INFO     | app.routers.llm | llm.py:195 | generate_insight | Insight generated
2025-12-19 02:23:50.461 | INFO     | app.routers.llm | llm.py:179 | generate_insight | Insight request
2025-12-19 02:23:50.461 | INFO     | app.services.llm | llm.py:726 | generate | Returning cached LLM response
2025-12-19 02:23:50.461 | INFO     | app.routers.llm | llm.py:195 | generate_insight | Insight generated
2025-12-19 02:23:50.461 | INFO     | app.routers.llm | llm.py:179 | generate_insight | Insight request
2025-12-19 02:23:54.210 | INFO     | app.services.llm | llm.py:801 | _execute_generation | LLM generation successful
2025-12-19 02:23:54.210 | INFO     | app.routers.llm | llm.py:195 | generate_insight | Insight generated
2025-12-19 02:23:59.100 | INFO     | app.services.llm | llm.py:801 | _execute_generation | LLM generation successful
2025-12-19 02:23:59.100 | INFO     | app.routers.llm | llm.py:195 | generate_insight | Insight generated
2025-12-19 02:24:17.070 | INFO     | app.routers.llm | llm.py:179 | generate_insight | Insight request
2025-12-19 02:24:17.072 | INFO     | app.routers.llm | llm.py:179 | generate_insight | Insight request
2025-12-19 02:24:17.072 | INFO     | app.routers.llm | llm.py:179 | generate_insight | Insight request
2025-12-19 02:24:23.810 | INFO     | app.services.llm | llm.py:801 | _execute_generation | LLM generation successful
2025-12-19 02:24:23.810 | INFO     | app.routers.llm | llm.py:195 | generate_insight | Insight generated
2025-12-19 02:24:30.293 | INFO     | app.services.llm | llm.py:801 | _execute_generation | LLM generation successful
2025-12-19 02:24:30.293 | INFO     | app.routers.llm | llm.py:195 | generate_insight | Insight generated
2025-12-19 02:24:37.463 | INFO     | app.services.llm | llm.py:801 | _execute_generation | LLM generation successful
2025-12-19 02:24:37.463 | INFO     | app.routers.llm | llm.py:195 | generate_insight | Insight generated
2025-12-19 02:25:35.468 | INFO     | app.routers.llm | llm.py:179 | generate_insight | Insight request
2025-12-19 02:25:35.468 | INFO     | app.services.llm | llm.py:726 | generate | Returning cached LLM response
2025-12-19 02:25:35.469 | INFO     | app.routers.llm | llm.py:195 | generate_insight | Insight generated
2025-12-19 02:25:35.469 | INFO     | app.routers.llm | llm.py:179 | generate_insight | Insight request
2025-12-19 02:25:35.469 | INFO     | app.services.llm | llm.py:726 | generate | Returning cached LLM response
2025-12-19 02:25:35.470 | INFO     | app.routers.llm | llm.py:195 | generate_insight | Insight generated
2025-12-19 02:25:35.470 | INFO     | app.routers.llm | llm.py:179 | generate_insight | Insight request
2025-12-19 02:25:35.470 | INFO     | app.services.llm | llm.py:726 | generate | Returning cached LLM response
2025-12-19 02:25:35.470 | INFO     | app.routers.llm | llm.py:195 | generate_insight | Insight generated
2025-12-19 02:27:34.981 | INFO     | app.main | main.py:31 | lifespan | Application shutdown
2025-12-19 02:27:58.579 | INFO     | app.initial_data | initial_data.py:15 | init_db | Database tables created successfully
2025-12-19 02:27:58.579 | INFO     | app.main | main.py:25 | lifespan | Application startup complete
2025-12-19 02:28:14.313 | INFO     | app.routers.llm | llm.py:179 | generate_insight | Insight request
2025-12-19 02:28:14.319 | INFO     | app.routers.llm | llm.py:179 | generate_insight | Insight request
2025-12-19 02:28:14.320 | INFO     | app.routers.llm | llm.py:179 | generate_insight | Insight request
2025-12-19 02:28:22.441 | INFO     | app.services.llm | llm.py:801 | _execute_generation | LLM generation successful
2025-12-19 02:28:22.441 | INFO     | app.routers.llm | llm.py:195 | generate_insight | Insight generated
2025-12-19 02:28:28.975 | INFO     | app.services.llm | llm.py:801 | _execute_generation | LLM generation successful
2025-12-19 02:28:28.976 | INFO     | app.routers.llm | llm.py:195 | generate_insight | Insight generated
2025-12-19 02:28:34.283 | INFO     | app.services.llm | llm.py:801 | _execute_generation | LLM generation successful
2025-12-19 02:28:34.283 | INFO     | app.routers.llm | llm.py:195 | generate_insight | Insight generated
2025-12-19 02:29:11.847 | INFO     | app.routers.llm | llm.py:179 | generate_insight | Insight request
2025-12-19 02:29:19.770 | INFO     | app.services.llm | llm.py:801 | _execute_generation | LLM generation successful
2025-12-19 02:29:19.770 | INFO     | app.routers.llm | llm.py:195 | generate_insight | Insight generated
2025-12-19 02:32:34.371 | INFO     | app.main | main.py:31 | lifespan | Application shutdown
